"word","analysis","example","etymology","affix","history","word_form","memory_aid","story"
"Oakland","Oakland 指的是美国加利福尼亚州的一个城市。它位于旧金山湾区，是该地区的主要城市之一。这个地方以其独特的艺术文化，生动的音乐场景，以及美食而闻名。","- I live in Oakland. (我住在奥克兰。)\n\n- Oakland has a vibrant art scene. (奥克兰有一个充满活力的艺术圈。)\n\n- The food in Oakland is amazing. (奥克兰的食物很棒。)","无","无","Oakland 的名字起源于其丰富的橡树。这个城市在19世纪的黄金热潮期间快速发展，并在20世纪的工业化进程中扮演了重要的角色。","Oakland 无相应变形词形，因其为地名。","将 Oakland 和 '橡木之地' 联系起来。","Emily is an artist who lives in Oakland. She draws inspiration from the lively streets, colorful murals, and the beautiful bay views. Every day, she explores the city with her sketchbook, captivated by its energy.  \n\n(Emily 是一个住在奥克兰的艺术家。她从充满活力的街道、色彩斑斓的壁画和美丽的湾区风景中获取灵感。每天，她带着她的素描本探索城市，被它的活力深深吸引。)"
"Yorkshire","Yorkshire是英国的一个郡，位于英格兰北部，是英国面积最大的一个郡。它被分为了四个部分：北约克郡、东约克郡、西约克郡以及南约克郡。因其历史悠久和风景秀丽，是英国重要的观光地之一。","- We plan to visit Yorkshire to see its beautiful countryside.()我们计划去约克郡游玩，看看那里优美的乡村风光。)\n\n- She hails from a small town in Yorkshire.(她出生于约克郡的一个小镇。)\n\n- The traditional Yorkshire pudding is a must-try when you visit.(当你去约克郡时，一定要尝尝传统的约克郡布丁。)","无","无","约克郡在罗马帝国时期就已经存在，其名称来源于这里的一座主要城市——约克。在中世纪，这里是纺织业重心以及长毛绵羊种群的主要集中区域。约克郡的文化背景丰富，拥有许多著名的历史遗迹、博物馆，以及众多的文化和音乐节。","无","无","Last year, my family took a trip to Yorkshire. We instantly fell in love with its captivating landscapes. We visited the historic city of York, tried some traditional Yorkshire pudding and treated ourselves to the spectacular view of the Yorkshire Dales. It was indeed a memorable journey! （去年，我的家人去约克郡旅行。我们立刻深深地爱上了那里迷人的风景。我们参观了历史悠久的约克市，尝试了一些传统的约克郡布丁，并在约克郡山谷欣赏了壮观的风景。那的确是一次难忘的旅程！）"
"dark","'Dark' 是一个形容词，用于描述光线不足或完全没有的情况，像'夜晚'和'暗室'等情况下通常会使用到'dark'。此外，'dark'也常用来形容秘密、神秘、阴郁或恶意的事物。","- The dark night sky was dotted with stars. (暗夜的天空点缀着星星。)\n\n- He keeps his past dark. (他对过去保持秘密。)\n\n- He has a dark sense of humor. (他的幽默感有些阴郁。)","'Dark' 一词在英语中是一个基础词，没有明显的词根或词缀。但可以和其他词组成复合词，如 'darkroom'（暗房）。","无","'Dark' 来自于古英语 'deorc'，最早用于形容光线不足的情况。在文化中，'dark' 通常与秘密、未知或恐惧相关联。","'Dark'通常为形容词。其比较级形式为 'darker'，最高级形式为 'darkest'。其名词形式'darkness'则指代缺乏光线的状态。例如：\n\n- Dark - darker - darkest (暗 - 更暗 - 最暗)\n\n- Darkness (黑暗)","不妨一起看看这个词的反义词'light'，两者有明显的对比，会有助于记住'dark'的含义。","'In the dark forest, a lone wolf howled, sending chills down the spines of its unseen audience. Shadows danced, complicating the eerie atmosphere.'  \n\n(在黑暗的森林中，一只孤狼嚎叫着，听者如临冰窖。阴影在跳舞，使得气氛更加诡异。)"
"guess","'Guess' 在英语中是一个经常用到的词，在最基本的意义上，它表示猜测或推测，此外，它也可以用作动词，表示猜测或推测的行为。","- I can't even guess how much it costs.（我连猜都猜不出它的价格。）\n\n- Just take a wild guess.（你随便猜猜看。）\n\n- I guess I'll have to do it myself.（我想我得自己来做。）","'Guess'（猜测）这个词本身就是词根","没有明显的词缀。","'Guess' 这个单词源自古英语 'gysan'，原意为'估计”，现在主要用于表达不确定的猜想，或加上 I guess 来表示对某事的个人观点。","- 作为动词，guess的过去式和过去分词均为guessed，进行时为guessing。","- 'Guess'类似中文中的“猜”，你可以试着通过形象地想象某个情境来记住这个词，比如你正在猜测朋友心里在想什么，或者是在一个游戏中作出猜测。","Michael was guessing what was inside the present. As he shook the box, he felt something move. His pulse quickened. Could it be the new game console he had been dreaming of?（迈克尔在猜礼物盒里装的是什么。他摇了摇盒子，感觉里面的东西动了一下。他的心跳速度加快了，会不会是他梦寐以求的新游戏机呢？）"
"mistress","' Mistress'是一个多义词，主要有两个含义。一是指'女主人'或'女主持人'，通常用于指代管理家务的女性或主持某事项的女性。二是作为'情妇'或'秘密情人'来理解，指一个与已婚男子有情感或性关系的女性。","- She is the mistress of her own fate.（她是自己命运的主人。）  \n\n- He introduced me to his mistress.（他向我介绍了他的情妇。）  \n\n- She is a mistress of the culinary arts.（她是烹饪艺术的女主导者。）","'Mistress' 原本是'master'的女性形式，来自于古英语的'mǣgester', 表示权威或控制。","'Mistress'没有包含明确的词缀部分。","'Mistress'在早期英国是用来表示对有权有势的女性或主持人的尊称，如'lady'或'madame'。然而，随着文化的发展，这个词的意义逐渐转变成了表述'秘密情人'的意思。","- 名词：Mistress\n\n- 形容词：Mistressy（但基本不使用）  \n\n固定搭配：\n\n- Mistress of oneself: 自我控制的人\n\n- Mistress of the Seas：指英国，源于其强大的海军实力。","'Mistress'与'Master'在读音与词义上有类似之处，可以记住'Mistress'即是'female master'（女性的主人）。","'There once was a woman who was a mistress of her own furniture shop. She was respected and admired by all for her outstanding work.'（曾经有个女人是自己家具店的女主人。她因为出色的工作而受到大家的尊重和敬佩。）"
"representative","'Representative'这个英语单词在中文中的意思主要有：代表，代理人，展示物，典型。其主要用作名词或形容词。","- He's the representative of our company. (他是我们公司的代表。)\n\n- This painting is representative of his early work. (这幅画是他早期作品的典型。)\n\n- The statue is a representative artifact of the ancient culture. (这座雕像是古代文化的代表物。)","词根是represent, 由 're' (再次) + 'present' (展示，呈现)组成， 意为再次展示，代表。在此基础上添加'ative'后缀，带有代表、象征的含义。以下是由represent派生出的一些其他的单词：re-present, representation, etc.","'re-'的含义是'again'， '-ative'表示形容词或名词。","在欧美文化中，representative这个词常常用于政治、法律、艺术等领域，代表着一种代替、象征或是典型的意义。","其常见的变形有：\n\n- 表示否定的形式 unrepresentative (n.) 非典型的\n\n- 其代词形式为 representative's\n\n- 动词形式为 represent (vt.表示,象徵,代表)","使用联想记忆法，例如你可以将're+present+ative'理解为“再次呈现”的状态或行为，意为代表或典型。","The school chose Lucy to be their representative for the national debate competition, because she was an excellent speaker and could re-present their views well. (学校选择了Lucy作为全国辩论赛的代表，因为她是一位优秀的演讲者，能很好地代表他们的观点。)"
"underground","'Underground'在英语中是一个形容词、名词或副词，主要有两个基本含义：1. 在地面下面或地表下的。2. 秘密的、非官方的。","- We traveled to our destination by the underground. (我们乘坐地铁去的目的地。)\n\n- An underground movement began to form against the government. (一个针对政府的秘密运动开始形成。)\n\n- The cables are all underground. (电缆都埋在地下。)","'Underground'由两部分构成，'under-'和'ground'。 'Under-'是前缀，意思是'在...之下'。 'Ground' 是名词，意思是 '地面'。这两者组合起来直译就是'在地面之下'。","在这个词中，最主要的词缀就是前缀 'under-'，所有与 'under'前缀相关的单词都有一种'在...之下'的含义，例如 'undersea'(在海洋之下)、'underwear'(内衣）等。","'Underground' 是一个中世纪时期的词，历史上主要用于描述地表下的东西。在现代英语中，除了保留字面意思外，还引申为描述秘密或非官方的行动或组织。","'Underground' 没有变形，无论是名词还是形容词形式，单复数形式都是 'underground'。","连接 'under-' 和 'ground' 理解，即可轻松记住 'underground' 这个词。你可以想象一个地铁（underground train）在地下行驶的图像，这会帮助你记住这个词的字面意思。","Tom discovered an underground tunnel in his backyard. He was amused to find the hidden path leading to an old treasure chest.\n\n湯姆在他的後院發現了一個地下隧道。他對找到通往古老寶箱的隱藏通道感到非常有趣。"
"Barcelona","'Barcelona' 是西班牙的一个城市，它位于西班牙东北部，临近地中海，是加泰罗尼亚自治区的首府。这个城市以其独特的建筑艺术，如高迪的作品，以及强大的足球队——巴塞罗那足球俱乐部而闻名。","- She and her husband travelled to Barcelona on vacation. （她和她的丈夫去巴塞罗那度假。）\n\n- The artwork of Gaudi can be seen throughout the city of Barcelona. （在巴塞罗那的全城都可以看到高迪的艺术作品。）\n\n- Barcelona football club is known worldwide. （巴塞罗那足球俱乐部享誉世界。）","'Barcelona'是一地名，并无词根。","'Barcelona'作为地名，没有词缀。","'Barcelona'是世界公认的历史文化名城，是西班牙加泰罗尼亚地区的首府。城市中有许多高迪的建筑艺术，如圣家堂以及巴特罗之家等。此外，还有西班牙最优秀的足球队巴塞罗那足球俱乐部，这都使巴塞罗那名声大噪。","'Barcelona'作为地理名称，没有变形。","巴塞罗那足球俱乐部的球迷可以将这个城市的名字和俱乐部的荣誉、比赛场景等联系起来，以帮助记忆。喜欢高迪建筑的人可以想象自己在这个城市的街头漫步，欣赏高迪的艺术创作。","Tom, a die-hard fan of Barcelona's football team, finally made his dream come true by visiting the Camp Nou, the home ground of the Barcelona football team. His heart pounded as he set foot in this legendary city.  \n\n(汤姆，一个死忠的巴塞罗那队球迷，终于实现了他的梦想，他来到了巴塞罗那队的主场——诺坎普。当他踏上这座传奇的城市，他的心开始狂跳。)"
"Ohio","'Ohio' 是美国的一个州名，位于该国的中北部，是美国的一个重要工业州，也是五大湖地区的一部分。还有，'Ohio' 在印第安语中有'大河'或'美丽的河流'的含义。","- I'm going to spend my summer vacation in Ohio.（我打算在俄亥俄州度过夏假。）\n\n- The Ohio river is stunning in the autumn.（俄亥俄河在秋天非常美丽。）\n\n- Ohio plays a significant role in the U.S. elections.（俄亥俄州在美国的选举中扮演重要角色。）","无","无","'Ohio' 源自印第安语的 'oyahoga' 或 'iaria'，表示'大河'或 '美丽的河流'。在1754年，区域成为法国殖民地的一部分，后在 1763 年割让给英国， 最后在 1803 年成为美国的州。","由于 'Ohio' 是地名，没有明显的单词变形和固定搭配。但'Ohioan'这个词用来指称在俄亥俄州出生或居住的人。","想要记住这个词，你可以联想到它的发音，象声词'ohio'（哦，嗨哦）可以帮助你记忆。","Tom was an adventurous Ohioan who loved exploring the natural beauty of Ohio. From the serenity of the Ohio River to the energy of the bustling cities, every adventure was a love letter to his homeland.  \n\n（汤姆是一个喜欢冒险的俄亥俄人，他喜欢探索俄亥俄州的自然之美。从俄亥俄河的宁静到繁华城市的活力，每一次冒险都是对他的家乡的热爱之情的表达。）"
"abandon","'Abandon'是一个动词，其基本意义是'放弃'或'丢弃'。它表示放弃某个物品、人、地方或概念。有时，它还可以表示'完全投入'或'深陷于'某种情况或环境中。","- She decided to abandon the idea and start afresh. (她决定放弃这个想法，重新开始。)\n\n- After the storm, the ship was abandoned. (暴风雨过后，这艘船被遗弃了。)\n\n- He abandoned himself to grief. (他陷入了悲痛之中。)","'Abandon'来自于法语'abandonner'，而法语中的'abandonner'则来自于Old French的'abandoner'。在最初的Old French中含意为 '放弃'，延伸至现在的英文中，其意义并无太大改变。","'Abandon'没有前缀，词根是'-bandon'，后缀没有；其他含'-bandon'的单词很少。'Abandon'的形容词是'abandoned'。","'Abandon'最初在法语中诞生，是由先前的'aban-'（意为'放弃'，来源于拉丁语'bannire'，意为'宣告'或'放弃'）和后缀'-don'（来源于拉丁语'donare'，意为'给'）组成的。这个词在13th世纪时传入了英语，并保持了其原本的含义。","Abandon是动词原形，其过去式和过去分词形式是'abandoned'，现在分词是'abandoning'。形容词形式是'abandoned'，“被遗弃的”。","你可以将'Abandon'与'Band'（乐队）联系在一起。在一个想象场景中，乐队的成员因为某种原因不得不离开他们的乐队，这就像是他们'abandon'了他们的乐队。","Once there was a soldier who had to abandon his home to serve his country. His loyal dog, however, remained in the abandoned house, waiting for its master to return. (曾经有个军人不得不离开自己的家去为国家效力。他忠诚的狗， however，在这个被遗弃的房子里等待着主人回来。)"
"dilute","' Dilute' 是一个动词，意为'将（液体）稀释'或'减弱（质量，纯度，力度等）'。当它被用作一个形容词时，就意味着'被稀释的'或'减弱的'。","- You need to dilute the paint with a little water before you use it.（你在使用这种油漆之前需要用一些水将其稀释。）\n\n- The company has diluted the quality of their products to increase profit margins.（公司为了增加利润率，降低了其产品的质量。）\n\n- That orange juice is too strong, it might be better if you dilute it with water. （那个橙汁太浓了，你可能需要用水稀释一下。）","'Dilute' 的词根来自拉丁词'dilutus'，意为'洗涤，稀释'。","'Dilute' 是由'di-'（两者之间）和 '-lute'（洗涤，稀释）组成。","该词在西方文化中，经常用于化学领域，描绘溶液的浓度。同时也被应用在商业上，指代公司股票发行带来股东权益稀释。","- 过去式：diluted  \n\n- 过去分词：diluted  \n\n- 现在分词：diluting  \n\n- 名词：dilution  \n\n- 形容词：diluted","可以将'dilute'与'dilution'关键一个映射，通过这种方式更加容易记住单词的意思和用法。","The girl didn't like the strong flavor of the coffee. So, she diluted it with milk. Now, she enjoys her coffee every morning.  \n\n（那个女孩不喜欢咖啡的浓烈口感，所以她用牛奶将其稀释，现在她每天早晨都喜欢喝那杯咖啡。）"
"hemisphere","'Hemisphere'是一个英语单词，由两部分构成，'hemi-'意为'一半'，'-sphere'意为'球'，所以整体意思是'半球'。它通常在地理学中指地球或其他天体的半部分，比如'北半球'（Northern Hemisphere）或'南半球'（Southern Hemisphere）。除此之外，它还可以在神经科学中表示大脑的左半球或右半球。","- We live in the northern hemisphere. （我们住在北半球。）\n\n- The conference attracts people from both the Eastern and Western hemispheres. （这个会议吸引了来自东半球和西半球的人们。）\n\n- Hemisphere can also be used to refer to different sides of the brain, such as the left hemisphere and the right hemisphere. （'Hemisphere'还可用于指大脑的不同侧面，如左半球和右半球。）","Hemisphere来自希腊词根'hemis-'表示'半'和'sphere'表示'圆，球'。其他有相同词根的单词有'hemicycle' (半圆形的建筑)、'hemistich' (半行诗)等。","Hemisphere这个词没有特别的词缀，但是它的组成部分'hemis-'和'-sphere'就像一种特殊的词缀，可以和其他部分结合构成意思的变化。例如，'hemicycle'中的'cycle'表示'圆'，结合'hemis-'就表示'半圆'。","'Hemisphere'这个单词首次出现在14世纪，最初用于描述天体的半球。直到稍后，当我们开始更深入了解地球的形状和结构时，它开始被用来描述地球的北半球和南半球。","Hemisphere是一个名词，没有动词、形容词或者副词的变形。它也没有复数形式，因为我们通常说 'the northern/southern hemisphere' 而不是 'the hemispheres'。","要记住这个单词，你可以想象一个切成两半的球或果实，每一半都是一个'hemisphere'（半球）。","Once upon a time, a bird lived on the equator. It was said that only by flying to the northern hemisphere could it find its true love. So, it took the courage and set off on the journey. (曾经有一次，一只鸟生活在赤道上。据说只有飞到北半球它才能找到它的真爱。所以，它鼓起勇气，开始了旅程。)"
